Sequence#	Timestamp	Level	Hostname	Logger	Thread	Id	ServiceUser	Message	Exception	StackTrace	ProxySessionId	TaskId	TaskName	AppId	AppName	ExecutionId	ExecutingNodeId	Status	StartTime	StopTime	Duration	FailureReason	Id2
207	20170424T093503.474-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	28	9919e1e8-ea5a-433d-9652-64ce7ca0a0a3	TOTO\qlik.service	Task execution finished				077f8eb0-1d64-4824-9ae2-9d56672b1ad3	Reload License Monitor	5349c691-19cc-47b5-8b1f-e183527b9a2e	License Monitor	d84b68f6-ec67-4868-81ff-fdeafde9616e	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T093452.632-0400	20170424T093503.458-0400	10826		9919e1e8-ea5a-433d-9652-64ce7ca0a0a3
208	20170424T093635.893-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	8	d10b3feb-8899-40bd-aa9b-8be70f8bf617	TOTO\qlik.service	Task execution finished				b97b2302-9d77-463d-82e9-2accf1c6cd60	Reload Operations Monitor	a8a56d34-e1f8-41ee-b241-6cf6974bf3b2	Operations Monitor	0c02ff9b-e4d7-4818-90fe-b5cdb8b24a3b	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T093459.293-0400	20170424T093635.878-0400	96585		d10b3feb-8899-40bd-aa9b-8be70f8bf617
209	20170424T094814.448-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	32	456e3317-29f4-4934-bf5a-0f00dae64ed0	TOTO\qlik.service	Task execution finished				e95946e5-314d-4c85-b705-6cab7778e4f3	Reload task of TOTO APP	54658bbb-66cb-466c-a70d-23b99496f903	TOTO APP	ff860a1e-3d4a-4d39-8b0c-5137576529c4	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T094801.140-0400	20170424T094814.432-0400	13292		456e3317-29f4-4934-bf5a-0f00dae64ed0
210	20170424T100314.467-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	55	97bfc071-dd88-4a56-9ae7-b0069937c207	TOTO\qlik.service	Task execution finished				e95946e5-314d-4c85-b705-6cab7778e4f3	Reload task of TOTO APP	54658bbb-66cb-466c-a70d-23b99496f903	TOTO APP	e37b3c3a-d126-44cd-a11b-d7975212715f	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T100301.144-0400	20170424T100314.452-0400	13308		97bfc071-dd88-4a56-9ae7-b0069937c207
211	20170424T101814.240-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	60	20211784-85b0-441d-9ef5-fac69aa68eeb	TOTO\qlik.service	Task execution finished				e95946e5-314d-4c85-b705-6cab7778e4f3	Reload task of TOTO APP	54658bbb-66cb-466c-a70d-23b99496f903	TOTO APP	387cd21c-6edd-4a6e-951e-9e70a2407e64	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T101801.104-0400	20170424T101814.224-0400	13120		20211784-85b0-441d-9ef5-fac69aa68eeb
212	20170424T103314.431-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	60	2c19629c-023b-47ee-b1d4-50a3dd66da59	TOTO\qlik.service	Task execution finished				e95946e5-314d-4c85-b705-6cab7778e4f3	Reload task of TOTO APP	54658bbb-66cb-466c-a70d-23b99496f903	TOTO APP	f9d5350e-c3c4-48ca-9f30-d73606ddb0c7	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T103301.123-0400	20170424T103314.415-0400	13292		2c19629c-023b-47ee-b1d4-50a3dd66da59
213	20170424T103503.757-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	12	dfe6676f-fed9-43d3-b566-9b9436c9bf81	TOTO\qlik.service	Task execution finished				077f8eb0-1d64-4824-9ae2-9d56672b1ad3	Reload License Monitor	5349c691-19cc-47b5-8b1f-e183527b9a2e	License Monitor	9f00657b-1306-425c-8c94-aa5988540b07	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T103452.619-0400	20170424T103503.726-0400	11107		dfe6676f-fed9-43d3-b566-9b9436c9bf81
214	20170424T103635.677-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	8	b324b921-ec6b-4ad7-9400-9565eb651730	TOTO\qlik.service	Task execution finished				b97b2302-9d77-463d-82e9-2accf1c6cd60	Reload Operations Monitor	a8a56d34-e1f8-41ee-b241-6cf6974bf3b2	Operations Monitor	5fed7724-ffef-4513-95a0-a780928c87a7	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T103459.296-0400	20170424T103635.661-0400	96365		b324b921-ec6b-4ad7-9400-9565eb651730
215	20170424T104814.418-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	57	565d9cd2-17d4-4e41-ba6a-ae065a0325b7	TOTO\qlik.service	Task execution finished				e95946e5-314d-4c85-b705-6cab7778e4f3	Reload task of TOTO APP	54658bbb-66cb-466c-a70d-23b99496f903	TOTO APP	dfdbb2ac-b8a6-422c-91d6-205055029c32	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T104801.127-0400	20170424T104814.387-0400	13260		565d9cd2-17d4-4e41-ba6a-ae065a0325b7
216	20170424T110314.391-0400	INFO	TOTO0571	TaskExecution.Scheduler.Scheduler.Master.Execution.ExecutionResultManager	30	81ca4c76-0813-466a-bc92-f8c236ef1de9	TOTO\qlik.service	Task execution finished				e95946e5-314d-4c85-b705-6cab7778e4f3	Reload task of TOTO APP	54658bbb-66cb-466c-a70d-23b99496f903	TOTO APP	3afabe3b-87f2-47c6-bf31-fb2743c401b3	f8f57f34-a2c4-420f-990b-10a56ace6de6	FinishedSuccess	20170424T110301.130-0400	20170424T110314.375-0400	13245		81ca4c76-0813-466a-bc92-f8c236ef1de9
